1,"Frankenstein; Or, The Modern Prometheus",Mary Wollstonecraft Shelley,
2,"Pride and Prejudice",Jane Austen,
3,"A Modest Proposal",Jonathan Swift,
4,"The Works of Edgar Allan Poe, The Raven Edition",Edgar Allan Poe,
5,"The Strange Case of Dr. Jekyll and Mr. Hyde",Robert Louis Stevenson,
6,"Moby Dick; Or, The Whale",Herman Melville,
7,"A Christmas Carol in Prose; Being a Ghost Story of Christmas",Charles Dickens,
8,"A Tale of Two Cities",Charles Dickens,
9,"Et dukkehjem. English",Henrik Ibsen,
10,"The Legend of Sleepy Hollow",Washington Irving,
11,"Heart of Darkness",Joseph Conrad,
12,"Alice's Adventures in Wonderland",Lewis Carroll,
13,"Dracula",Bram Stoker,
14,"Walden, and On The Duty Of Civil Disobedience",Henry David Thoreau,
15,"The Adventures of Sherlock Holmes",Arthur Conan Doyle,
16,"The Scarlet Letter",Nathaniel Hawthorne,
17,"Adventures of Huckleberry Finn",Mark Twain,
18,"The Importance of Being Earnest: A Trivial Comedy for Serious People",Oscar Wilde,
19,"The Yellow Wallpaper",Charlotte Perkins Gilman,
20,"The Gift of the Magi",O. Henry,
21,"Metamorphosis",Franz Kafka,
22,"Jane Eyre: An Autobiography",Charlotte Brontë,
23,"Grimms' Fairy Tales",Jacob Grimm and Wilhelm Grimm,
24,"Ulysses",James Joyce,
25,"The Picture of Dorian Gray",Oscar Wilde,
26,"Anthem",Ayn Rand,
27,"The Souls of Black Folk",W. E. B. Du Bois,
28,"The Awakening, and Selected Short Stories",Kate Chopin,
29,"The Adventures of Tom Sawyer",Mark Twain,
30,"Il Principe. English",Niccolò Machiavelli,
31,"Narrative of the Life of Frederick Douglass, an American Slave",Frederick Douglass,
32,"Ion",Plato,
33,"Peter Pan",J. M. Barrie,
34,"Great Expectations",Charles Dickens,
35,"War and Peace",graf Leo Tolstoy,
36,"Index of Project Gutenberg Works on Black History",Various,
37,"Prestuplenie i nakazanie. English",Fyodor Dostoyevsky,
38,"The Republic",Plato,
39,"Treasure Island",Robert Louis Stevenson,
40,"Leviathan",Thomas Hobbes,
41,"Tractatus Logico-Philosophicus",Ludwig Wittgenstein,
42,"The Hound of the Baskervilles",Arthur Conan Doyle,
43,"Uncle Tom's Cabin",Harriet Beecher Stowe,
44,"Emma",Jane Austen,
45,"Dubliners",James Joyce,
46,"The War of the Worlds",H. G. Wells,
47,"The Count of Monte Cristo, Illustrated",Alexandre Dumas,
48,"The Brothers Karamazov",Fyodor Dostoyevsky,
49,"Pygmalion",Bernard Shaw,
50,"Little Women",Louisa May Alcott,
51,"Wuthering Heights",Emily Brontë,
52,"Calculus Made Easy",Silvanus P. Thompson,
53,"Essays of Michel de Montaigne — Complete",Michel de Montaigne,
54,"Index of the Project Gutenerg Works of H. G. Wells",H. G. Wells,
55,"The Turn of the Screw",Henry James,
56,"Siddhartha",Hermann Hesse,
57,"Anne of Green Gables",L. M. Montgomery,
58,"Incidents in the Life of a Slave Girl, Written by Herself",Harriet A. Jacobs,
59,"The Kama Sutra of Vatsyayana",Vatsyayana,
60,"The Works of Edgar Allan Poe — Volume 2",Edgar Allan Poe,
61,"The Iliad",Homer,
62,"Gulliver's Travels into Several Remote Nations of the World",Jonathan Swift,
63,"A Study in Scarlet",Arthur Conan Doyle,
64,"Autobiography of Benjamin Franklin",Benjamin Franklin,
65,"Les Misérables",Victor Hugo,
66,"The Interesting Narrative of the Life of Olaudah Equiano, Or Gustavus Vassa, The African",Equiano,
67,"The Jungle",Upton Sinclair,
68,"The Wonderful Wizard of Oz",L. Frank Baum,
69,"The Confessions of St. Augustine",Bishop of Hippo Saint Augustine,
70,"Sense and Sensibility",Jane Austen,
71,"Second Treatise of Government",John Locke,
72,"The Prophet",Kahlil Gibran,
73,"Candide",Voltaire,
74,"Frankenstein; Or, The Modern Prometheus",Mary Wollstonecraft Shelley,
75,"Meditations",Emperor of Rome Marcus Aurelius,
76,"Beyond Good and Evil",Friedrich Wilhelm Nietzsche,
77,"Also sprach Zarathustra. English",Friedrich Wilhelm Nietzsche,
78,"The Devil's Dictionary",Ambrose Bierce,
79,"An Occurrence at Owl Creek Bridge",Ambrose Bierce,
80,"On Liberty",John Stuart Mill,
81,"The Time Machine",H. G. Wells,
82,"The Innocents Abroad",Mark Twain,
83,"Le Morte d'Arthur: Volume 1",Sir Thomas Malory,
84,"Divine Comedy, Longfellow's Translation, Hell",Dante Alighieri,
85,"Leaves of Grass",Walt Whitman,
86,"How the Other Half Lives: Studies Among the Tenements of New York",Jacob A. Riis,
87,"The Tragical History of Doctor Faustus",Christopher Marlowe,
88,"Democracy in America — Volume 1",Alexis de Tocqueville,
89,"Hard Times",Charles Dickens,
90,"Oliver Twist",Charles Dickens,
91,"Essays by Ralph Waldo Emerson",Ralph Waldo Emerson,
92,"The Problems of Philosophy",Bertrand Russell,
93,"The Odyssey",Homer,
94,"Songs of Innocence, and Songs of Experience",William Blake,
95,"Blair",Emma Helen,
96,"The Call of the Wild",Jack London,
97,"The Memoirs, Correspondence, And Miscellanies, From The Papers Of Thomas Jefferson",Jefferson,
98,"The Jungle Book",Rudyard Kipling,
99,"Narrative of the Captivity and Restoration of Mrs. Mary Rowlandson",Mary White Rowlandson,
100,"Complete Original Short Stories of Guy De Maupassant",Guy de Maupassant,
